,Caller Number,Call Time,Call Type,Conversation
0,+1-602-484-3039,05:06:43,normal,What are you doing?
1,+1-703-942-8189,15:08:08,fraud,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386
2,+1-901-383-7693,03:36:17,normal,"Ok, Let me see."
3,+1-602-747-4851,10:12:14,normal,"He will, you guys close?"
4,+1-214-359-8191,09:42:00,normal,Oh oh... Den muz change plan liao... Go back have to yan jiu again...
5,+1-808-973-4482,07:14:29,normal,Unfortunately i've just found out that we have to pick my sister up from the airport that evening so don't think i'll be going out at all. We should try to go out one of th
6,+1-602-244-1707,20:05:38,normal,Is fujitsu s series lifebook good?
7,+1-614-370-1263,03:37:13,normal,"Tee hee. Off to lecture, cheery bye bye."
8,+1-702-596-9537,20:10:09,fraud,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop"
9,+1-616-912-9074,13:14:06,normal,Ya very nice. . .be ready on thursday.
10,+1-404-997-2792,21:18:10,normal,"Well the general price is  &lt;#&gt; /oz, let me know if/when/how much you want"
11,+1-415-970-4045,01:39:27,normal,"My friend just got here and says he's upping his order by a few grams (he's got $ &lt;#&gt; ), when can you get here?"
12,+1-617-680-8141,00:12:52,normal,Let me feel your pulse and see your tongue. I find nothing wrong with you. Only your tongue is a bit dirty.
13,+1-702-264-2497,03:12:40,fraud,More people are dogging in your area now. Call 09090204448 and join like minded guys. Why not arrange 1 yourself. There's 1 this evening. A£1.50 minAPN LS278BB
14,+1-602-909-8702,12:32:28,normal,"Haha awesome, be there in a minute"
15,+1-214-303-7293,19:00:44,fraud,LORD OF THE RINGS:RETURN OF THE KING in store NOW!REPLY LOTR by 2 June 4 Chance 2 WIN LOTR soundtrack CDs StdTxtRate. Reply STOP to end txts
16,+1-702-919-9453,05:42:08,fraud,"Hello sir, I am speaking from Paytm.  Have you ever had KYC, if not done, please get it done."
17,+1-212-296-2781,06:29:21,normal,It's ok i wun b angry. Msg u aft i come home tonight.
18,+1-305-573-1125,11:09:32,normal,Happy new year. Hope you are having a good semester
19,+1-303-316-4348,20:46:55,normal,Guessin you ain't gonna be here before 9?
20,+1-503-951-8104,15:29:48,normal,"Erm … ill pick you up at about 6.45pm. That'll give enough time to get there, park and that."
21,+1-415-674-2397,14:04:04,normal,Those were my exact intentions
22,+1-512-779-7257,22:04:26,normal,"Yes, it is available."
23,+1-602-584-2989,11:33:55,normal,Went fast asleep dear.take care.
24,+1-206-988-1238,06:58:21,normal,Ok. I.ll do you right later.
25,+1-404-624-8234,03:46:29,normal,"Thanx. Yup we coming back on sun. Finish dinner going back 2 hotel now. Time flies, we're tog 4 exactly a mth today. Hope we'll haf many more mths to come..."
26,+1-305-501-9447,23:32:24,normal,Okie but i scared u say i fat... Then u dun wan me already...
27,+1-305-255-3582,03:10:19,normal,Nan sonathaya soladha. Why boss?
28,+1-415-518-4536,00:04:21,normal,Well there's not a lot of things happening in Lindsay on New years *sighs* Some bars in Ptbo and the blue heron has something going
29,+1-213-930-7523,13:24:16,normal,say thanks2.
30,+1-503-605-5751,04:14:08,normal,I fetch yun or u fetch?
31,+1-312-743-1804,20:41:12,normal,I bought the test yesterday. Its something that lets you know the exact day u ovulate.when will get 2u in about 2 to 3wks. But pls pls dont fret. I know u r worried. Pls relax. Also is there anything in ur past history u need to tell me?
32,+1-617-260-4722,12:38:40,normal,U can call now...
33,+1-702-737-5380,19:39:42,normal,I will pay with my debit card.
34,+1-305-346-6238,10:51:47,normal,All will come alive.better correct any good looking figure there itself..
35,+1-503-384-6133,17:07:38,normal,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill
36,+1-305-368-9622,10:42:23,normal,I'm watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?
37,+1-808-818-4365,10:50:34,fraud,"Today's Offer! Claim your £150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. £3.00 Sub. 16 . Unsub reply X"
38,+1-303-962-8398,01:49:39,normal,Thank you baby! I can't wait to taste the real thing...
39,+1-206-507-4721,14:18:30,normal,Hey next sun 1030 there's a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free
40,+1-901-336-3067,14:33:52,normal,I (Career Tel) have added u as a contact on INDYAROCKS.COM to send FREE SMS. To remove from phonebook - sms NO to  &lt;#&gt;
41,+1-404-394-1804,20:04:54,normal,"Dude. What's up. How Teresa. Hope you have been okay. When i didnt hear from these people, i called them and they had received the package since dec  &lt;#&gt; . Just thot you'ld like to know. Do have a fantastic year and all the best with your reading. Plus if you can really really Bam first aid for Usmle, then your work is done."
42,+1-312-872-2203,15:28:05,normal,"""Hi missed your Call and my mumHas beendropping red wine all over theplace! what is your adress?"""
