Unnamed: 0,Call Type,Caller Number,Call Time,Call Frequency Per Day,Call Frequency Per Week,Conversation
0,Normal,+1-614-648-9798,07:36:00,2,11,"Hope. Since ago travelled, he has forgotten his guy"
1,Normal,+1-832-773-5082,15:22:57,3,10,Horrible you eat mass eat until u forgot about me already rite... U take so long 2 reply. I the it's more took than by so b prepared. Now wat shall i eat?
2,Normal,+1-347-241-5784,17:44:49,1,6,Great! I have to run now so ttyl!
3,Normal,+1-754-777-2479,08:15:26,3,14,"Sorry, I'll call later"
4,Normal,+1-312-273-6295,10:40:53,3,8,"Jay wants to work out first, how's 4 sound?"
5,Normal,+1-334-795-1682,21:44:49,3,15,It the same time newspapers contains articles related to our study. They are very helpful.
6,Spam,+1-714-294-6745,07:10:31,2,9,"Hello sir, I am speaking from ICICI Bank.  Your ATM card date has expired.  Please share your Aadhaar number to run a new ATM card."
7,Spam,+1-656-272-2895,15:55:17,2,13,Free mug: Single? Mind a partner in your area! 1000s of real people are waiting to chat now!End CHAT to 62220Cncl send STOPCS 08717890890£1.50 per mug
8,Normal,+1-570-982-1519,07:44:37,4,8,We not leaving yet. Ok lor then we go elsewhere n eat. U thk...
9,Normal,+1-678-441-5939,09:17:04,3,7,whatever relation u built up in dis world only thing which remains atlas in online with lot n lot memories! feeling..
10,Normal,+1-832-574-6770,22:02:50,3,14,Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.
11,Spam,+1-551-330-6078,09:23:17,1,11,Anna have a laugh? Cry CHIT-CHAT on your mobile now! Soon by taking the word: CHAT and send it to To: 8883 of of Box 4217 London W1A 6ZF 16+ 118p/mug red
12,Normal,+1-656-824-2416,12:53:35,4,10,You said to me before i went back to bed that you can't sleep for anything.
13,Normal,+1-917-839-6055,17:25:13,3,4,"""Key sorry I didntgive a a a bellearlier funny,just been in debut mine go 2 thepub let if want mt up?loads a lui Jenxxx."""
14,Normal,+1-714-416-2991,07:24:08,5,14,He don call like  &it;#&it;  times oh. To give us hypertension oh.
15,Normal,+1-251-691-8949,16:48:26,2,15,It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure
16,Normal,+1-213-738-2948,20:02:15,5,14,"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday."
17,Normal,+1-251-617-1913,08:25:38,1,10,"Bill, as in: Are there any letters for me. i’m expecting one from orange that isn’t a bill but may still say orange on it."
18,Normal,+1-713-931-1441,12:39:31,3,8,"Sorry, I'll call later"
19,Normal,+1-614-420-5341,11:00:37,2,13,Meeting u is my work. . . El me when shall i do my work tomorrow
20,Normal,+1-669-310-7608,07:01:21,3,13,"Some around  &it;DECIMAL&it; pm milky..i'm outside no, il come by the time"
21,Normal,+1-713-970-1062,14:22:17,3,12,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..
22,Normal,+1-251-808-4123,12:31:21,2,9,I am in a marriage function
23,Normal,+1-786-248-8046,08:30:18,2,6,I went to or hon lab but no one is there.
24,Normal,+1-281-268-9554,12:16:14,5,15,I wont. To wat's wit the guns
25,Normal,+1-614-938-7028,08:37:25,1,11,Voice. Next me when you're here
26,Normal,+1-917-579-8710,11:37:15,4,4,I taught that Ranjith sir called me. To only i sums like that. Because he verifying about project. Arab told today so only pa dont mistake me..
27,Normal,+1-813-538-5954,11:47:44,4,8,I actually did for the first time in a while. I went to bed not too long after i spoke with you. Joke up at 7. Now was your night?
28,Normal,+1-334-345-4608,07:31:08,1,14,Planning to start a new business.
29,Normal,+1-323-274-7311,14:48:26,2,11,To wonder... Os i dun red seeing a silver car... But i the i saw a black one...
30,Normal,+1-669-893-6284,20:58:38,3,12,Being able to communicate clearly and properly. Most companies want the candidate to be client in English speaking so that he or she can go on in the future to assume leadership roles. You are an investment for the company so they want the best candidate possible. Take sure your speaking skill are on point!
31,Normal,+1-754-960-9970,15:15:13,5,6,Probably a couple hours tops
32,Normal,+1-917-329-2093,12:42:04,1,9,"That's cool, I'll come by like  &it;#&it; is"
33,Normal,+1-669-932-9796,13:57:27,5,9,I will vote for wherever my heart guides me
34,Normal,+1-917-605-7574,11:16:32,5,5,Key next sun 1030 there's a basic you course... at boris... He can go for that... Dilates into next sat.... Well me what time you r free
35,Normal,+1-312-509-3989,18:41:28,5,7,Lol enjoy role playing much?
36,Normal,+1-310-275-4154,11:10:51,3,4,do u think that any girl will propose u today by being or bloody funny shit fucking face...............asssssholeeee................
37,Normal,+1-334-257-9301,14:49:50,1,12,"Fool, I'll text you when I'm on the way"
38,Normal,+1-407-598-1226,11:23:26,4,4,When did you get to the library
39,Normal,+1-937-596-3048,17:15:36,3,4,Good. Good job. I like entrepreneurs
40,Normal,+1-872-967-8675,11:49:20,2,4,Mr then ü bring war... Ilya later i come n c war... May ü neve set properly ü got da help sheet if ü...
41,Normal,+1-872-520-7562,08:28:53,1,9,"Wont search love, let love find U. Hats why its called falling in love, boy U dont force yourself, U just fall and U know there is someone to hold U... BSLVYL"
42,Normal,+1-917-942-9341,20:05:36,1,4,Then we wait 4 u lor... No need 2 feel bad lar...
43,Scam,+1-678-877-1152,17:29:32,2,6,Collect your VALENTINE'S weekend to PARIS in Light & Hotel + £200 Prize guaranteed! Next: PARIS to To: 69101. www.utf.shouting.com
44,Normal,+1-848-725-6046,12:17:42,3,9,Pls speak with me. I wont ask anything other then you friendship.
45,Normal,+1-714-735-1873,14:03:22,1,4,"Almost done, I just need to buy some clothes for my parents. I have got my own two days ago. That about you?"
46,Spam,+1-832-728-5730,19:30:28,1,13,Next PASS to 69669 to collect your polyphonic ringtones. Normal grs charges apply only. Enjoy your tones
47,Normal,+1-713-862-5291,08:03:11,3,14,Once free call me sir. I am waiting for you.
48,Normal,+1-770-731-6072,18:00:58,1,9,"High my g is spot, anyway the only thing I remember from the research we did was that province and sterling were the only problem-free places we looked at"
49,Normal,+1-848-932-7768,12:29:02,5,9,That's up my own ogg. Left my phone at home and just saw or messages. Hope you are good. Have a great weekend.
50,Normal,+1-412-772-2636,10:00:07,5,12,"Please protect yourself from e-threats. SIB never asks for sensitive information like Password,ATM/SMS PIN thou email. Never share your password with anybody."
51,Spam,+1-334-465-2905,07:07:42,2,2,"hello sir, i am from india bank, sir i have call you for your bank account purification do you want verify your account. sir then tell me your zakhar card number and pan card and your debit/credit card number."
52,Spam,+1-917-498-4610,07:29:30,5,10,todays vodafone numbers ending with 0089(my last four digits) are selected to received a £350 award. If your number matches please call 09063442151 to claim your £350 award
53,Normal,+1-251-449-6580,16:49:32,3,15,Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..
54,Spam,+1-305-965-5719,11:55:51,4,5,Santa Calling! Would your little ones like a call from Santa Was eve? All 09058094583 to book your time.
55,Normal,+1-415-746-5896,16:00:17,2,13,Hey what happen de. Are you alright.
56,Normal,+1-754-602-8774,12:44:12,3,12,To what do you guns do.
57,Normal,+1-832-323-7226,12:19:38,2,4,Ok. There may be a free gym about.
58,Normal,+1-310-778-9478,12:31:21,1,9,I tot u reach liao. He said t-shirt.
59,Normal,+1-251-268-6428,22:42:59,2,2,"You can see ""Friends' Dark"" and ""Happy Jungle""."
60,Spam,+1-714-207-2406,17:13:50,4,6,Dear Voucher Older 2 claim your st class airport lounge passes when using Your holiday voucher call 08704439680. When booking quote st class x 2
61,Normal,+1-570-489-9383,07:54:43,5,12,Its sunny in california. The weather's just cool
62,Normal,+1-713-649-9470,20:29:24,2,14,"I can make it up there, squeezed  &it;#&it;  bucks out of my dad"
63,Normal,+1-407-638-3449,16:29:25,4,14,I dont thnk its a wrong calling between us
64,Normal,+1-212-472-4011,15:19:31,2,14,of ITS JESS I DONT KNOW of YOU ARE of WORK BUT CALL of WHEN U CAN of of HOME ALL EVE. XXX
65,Normal,+1-786-811-2770,07:27:55,4,7,"Okay, I will pay 28,500. I feel that this is a good deal."
66,Normal,+1-424-656-3024,15:24:37,1,3,Havent stuck at orchard in my dad's car. Going 4 dinner now. U leh? So r they free tonight?
67,Spam,+1-323-250-6174,12:07:06,2,12,All 09095350301 and send our girls into exotic ecstasy. Must up/min. To stop texts call 08712460324 (at rate)
68,Normal,+1-323-435-2243,15:37:14,3,14,It has issues right now. All fix for her by tomorrow.
69,Normal,+1-678-715-1719,11:34:31,4,14,That acts comes under saber crimes?
70,Normal,+1-570-373-1583,12:37:20,5,5,"K, be careful ! On't text and drive !"
71,Normal,+1-832-456-4607,08:24:31,2,7,Cry neve mate!!
72,Normal,+1-786-689-9197,15:45:16,1,13,There is os called band which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..
73,Normal,+1-305-556-2060,16:52:57,2,13,"Sorry light turned green, I meant another friend wanted  &it;#&it;  worth but he may not be around"
74,Spam,+1-570-327-2701,17:53:55,2,11,Welcome! Please reply with your AGE and GENDER to begin. e.g 24M
75,Normal,+1-407-957-7755,14:54:17,3,7,Of bettah invest in some  anti raging products
76,Normal,+1-347-214-8711,15:24:14,3,10,Not a drop in the tank
77,Normal,+1-786-896-7094,09:26:27,1,8,Did you see who fired the bullet?
78,Normal,+1-770-206-2880,17:23:29,2,11,"On’t forget to learn about the company as much as possible. Of you have a basic idea of what the company does, what its core domain is, and what its structure is like, then it will create a very positive impression on the interview. To solid research."
79,Normal,+1-404-739-5477,08:24:38,3,13,"I do know what u mean,  is the king of not havin credit! I'm goin2bed now. Night night sweet! Only1more sleep!"
80,Normal,+1-551-620-4300,21:36:26,5,9,Mmm:)how many players selected?
81,Normal,+1-415-651-7301,17:23:18,2,15,Slaaaaave ! Where are you ? Must I summon you to me all the time now ? Don't you wish to come to me on your own anymore?
82,Normal,+1-551-285-7346,17:25:47,3,7,"Ah, my legs and neck are killing me and my amiss are hoping to end the night with a burn, think I could swing by in like an hour?"
83,Normal,+1-346-404-8169,07:44:22,4,15,At r u doing?
84,Normal,+1-305-381-8342,09:20:37,3,11,K..k:)how about your training process?
85,Normal,+1-872-993-5800,17:23:24,3,3,"Ah man, my car is meant to be crammed full of people"
86,Spam,+1-334-414-2087,12:50:04,3,3,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!"
87,Normal,+1-212-848-3918,15:30:00,4,14,Well my  bad character which u Ant like in me. I'll try to change in  &it;#&it; . I ll add tat 2 my new year resolution. Waiting for or reply.He frank...good morning.
88,Normal,+1-657-802-9391,07:53:20,2,12,Company is very good.environment is terrific and food is really nice:)
89,Spam,+1-682-939-1664,16:20:10,1,5,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
90,Normal,+1-251-990-1270,08:13:56,2,15,"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. He'll take it slow. First the tests, they will guide when your population is then just relax. Nothing you've said is a reason to worry but i.ll keep on following you up."
91,Spam,+1-832-366-8429,10:30:46,3,15,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX
92,Normal,+1-770-545-6891,21:06:56,1,4,I've sent ü my part..
93,Normal,+1-872-251-5631,10:39:54,5,15,I am all ears. Please go ahead.
94,Normal,+1-619-943-9525,15:42:10,3,13,At happened to the cruise thing
95,Normal,+1-312-559-1538,14:26:19,5,8,"But, why shall we learn it?"
96,Normal,+1-657-814-9732,17:12:32,5,8,I'm in class. Did you get my text.
97,Normal,+1-858-990-9207,15:23:52,5,15,All right are you at work?
98,Normal,+1-848-530-5870,21:24:17,1,1,Men did you get so spiritual and deep. That's great
99,Normal,+1-656-940-3684,12:50:44,2,4,Watching deluge movie. what about you?
100,Normal,+1-848-832-9409,18:24:50,4,14,"A sweet thought: ""Never get tired of doing little things for movable persons.."" because..sometimes those little things occupy the biggest part in their Hearts.. good night"
101,Normal,+1-346-917-4820,20:55:22,2,3,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
102,Scam,+1-334-703-6611,18:14:25,3,7,"Urgent Urgent! He have 800 FREE flights to Europe to give away, call Of with Kept & take a friend 4 FREE. All now to claim on 09050000555. BA128NNFWFLY150ppm"
103,Normal,+1-213-473-6076,11:35:23,4,9,"Must sent you an email – to an address with income in it, is that right?"
104,Normal,+1-917-527-4788,20:00:36,4,5,Yup ü not comin :-(
105,Spam,+1-689-397-8762,07:06:37,5,7,"hello sir, i am from si bank, sir i have call you for your bank account purification do you want verify your account. sir then tell me your zakhar card number and pan card and your debit/credit card number."
106,Normal,+1-832-797-4757,10:45:15,1,10,K. Now many should i buy.
107,Normal,+1-470-613-7213,08:00:32,5,10,Wylie update: my weed dealer carlos went to freedom and had a class with lunsford
